中文名,学名,保护级别 State Priority Levels
蜂猴（所有种）,Nycticebus spp.,Ⅰ
倭蜂猴,Nycticebus pygmaeus,
短尾猴,Macaca arctoides,II
熊猴,Macaca assamensis,Ⅰ
台湾猴,Macaca cyclopis,Ⅰ
猕猴,Macaca mulatta,II
豚尾猴,Macaca nemestrina,Ⅰ
藏酋猴,Macaca thibetana,II
叶猴（所有种）,Presbytis spp.,Ⅰ
长尾叶猴 ,Semnopithecus schistaceus  ,
印支灰叶猴 ,Trachypithecus crepusculus ,
黑叶猴 ,Trachypithecus francoisi,
菲氏叶猴 ,Trachypithecus phayrei  ,
白头叶猴,Trachypithecus leucocephalus  ,
戴帽叶猴 ,Trachypithecus shortridgei  ,
金丝猴（所有种）,Rhinopithecus spp.,Ⅰ
滇金丝猴,Rhinopithecus bieti,
黔金丝猴 ,Rhinopithecus brelichi,
川金丝猴,Rhinopithecus roxellana,
缅甸金丝猴, Rhinopithecus strykeri ,
长臂猿（所有种）,Hylobates spp.,Ⅰ
白掌长臂猿,Hylobates lar,
东白眉长臂猿,Hoolock leuconedys,
西黑冠长臂猿,Nomascus concolor,
东黑冠长臂猿,Nomascus nasutus,
海南长臂猿,Nomascus hainanus ,
北白颊长臂猿,Nomascus leucogenys,
穿山甲,Manis pentadactyla,II
豺,Cuon alpinus,II
黑熊,Selenarctos thibetanus,II
棕熊,Ursus arctos,II
马来熊,Helarctos malayanus,Ⅰ
小熊猫,Ailurus fulgens,II
大熊猫,Ailuropoda melanoleuca,Ⅰ
石貂,Martes foina,II
紫貂,Martes zibellina,Ⅰ
黄喉貂,Martes flavigula,II
貂熊,Gulo gulo,Ⅰ
*水獭（所有种）,Lutra spp.,II
江獭 ,Lutrogale perspicillata  ,
*小爪水獭,Aonyx cinerea,II
斑林狸,Prionodon pardicolor,II
大灵猫,Viverra zibetha,II
小灵猫,Viverricula indica,II
熊狸,Arctictis binturong,Ⅰ
草原斑猫,Felis lybica (=silvestris),II
荒漠猫,Felis bieti,II
丛林猫,Felis chaus,II
猞猁,Felis lynx,II
兔狲,Felis manul,II
金猫,Felis temmincki,II
渔猫,Felis viverrinus,II
云豹,Neofelis nebulosa,Ⅰ
豹,Panthera pardus,Ⅰ
虎,Panthera tigris,Ⅰ
雪豹,Panthera uncia,Ⅰ
*鳍足目（所有种）,PINNIPEDIA,II
北海狗 ,Callorhinus ursinus,
北海狮,Eumetopias jubatus,
斑海豹,Phoca largha ,
环斑小头海豹,Pusa hispida ,
髯海豹  ,Erignathus barbatus ,
*儒艮,Dugong dugong,Ⅰ
*白鱀豚,Lipotes vexillifer,Ⅰ
*中华白海豚,Sousa chinensis,Ⅰ
*其它鲸类,(Cetacea),II
亚洲象,Elephas maximus,Ⅰ
蒙古野驴,Equus hemionus,Ⅰ
西藏野驴,Equus kiang,Ⅰ
野马,Equus przewalskii,Ⅰ
野骆驼,Camelus ferus (=bactrianus),Ⅰ
鼷鹿,Tragulus javanicus,Ⅰ
麝（所有种）,Moschus spp.,II
安徽麝 ,Moschus anhuiensis,
林麝 ,Moschus berezovskii,
高山麝,Moschus chrysogaster sifanicus,
