中文名,学名,临危等级 Red List Status
云南鼩鼱,Sorex excelsus,LC 
细鼩鼱,Sorex gracillimus,NT 
远东鼩鼱,Sorex isodon,NT 
中国毛猬,Hylomys suillus,NT
柯氏鼩鼱,Sorex kozlovi,DD 
海南新毛猬,Neohylomys hainanensis,VU
姬鼩鼱,Sorex minutissimus,NT 
中国鼩猬,Neotetracus sinensis,LC
小鼩鼱,Sorex minutus,NT 
东北刺猬,Erinaceus amurensis,LC
大鼩鼱,Sorex mirabilis,NT 
大耳猬,Hemiechinus auritus,LC
克什米尔鼩鼱,Sorex planiceps,NT 
达乌尔猬,Mesechinus dauuricus,LC
扁颅鼩鼱,Sorex roboratus,NT 
侯氏猬,Mesechinus hughi,NT
陕西鼩鼱,Sorex sinalis,NT 
小齿猬,Mesechinus miodon,DD
藏鼩鼱,Sorex thibetanus,NT 
林猬,Mesechinus sylvaticus,LC
苔原鼩鼱,Sorex tundrensis,NT 
长爪鼩鼱,Sorex unguiculatus,LC 
等齿鼩鼹,Uropsilus aequodonenia,NT
淡灰黑齿鼩鼱,Blarinella griselda,LC 
峨眉鼩鼹,Uropsilus andersoni,VU
川鼩,Blarinella quadraticauda,LC 
长吻鼩鼹,Uropsilus gracilis,LC
狭颅黑齿鼩鼱,Blarinella wardi,NT 
贡山鼩鼹,Uropsilus investigator,NT
大爪长尾鼩鼱,Soriculus nigrescens,NT 
鼩鼹,Uropsilus soricipes,LC
米什米长尾鼩鼱,Episoriculus baileyi,DD 
长尾鼩鼹,Scaptonyx fusicaudus,LC
长尾鼩,Episoriculus caudatus,LC 
甘肃鼹,Scapanulus oweni,NT
台湾长尾鼩,Episoriculus fumidus,NT 
宽齿鼹,Euroscaptor grandis,VU
大长尾鼩鼱,Episoriculus leucops,NT 
克氏鼹,Euroscaptor klossi,VU
缅甸长尾鼩,Episoriculus macrurus,NT 
长吻鼹,Euroscaptor longirostris,LC
灰腹长尾鼩鼱,Episoriculus sacratus,DD 
短尾鼹,Euroscaptor micrura,VU
高氏缺齿鼩,Chodsigoa caovansunga,CR
小齿鼹,Euroscaptor parvidens,VU
川西缺齿鼩鼱,Chodsigoa hypsibia,LC 
台湾缺齿鼹,Mogera kanoana,DD
小缺齿鼩鼱,Chodsigoa lamula,NT 
华南缺齿鼹,Mogera insularis,LC
云南缺齿鼩鼱,Chodsigoa parca,NT 
缺齿鼹,Mogera robusta,LC
滇北长尾鼩,Chodsigoa parva,NT 
小缺齿鼹,Mogera wogura,NT
大缺齿鼩鼱,Chodsigoa salenskii,NT 
钓鱼岛鼹,Mogera uchidai,DD
斯氏缺齿鼩鼱,Chodsigoa smithii,LC 
白尾鼹,Parascaptor leucura,VU
细尾缺齿鼩鼱,Chodsigoa sodalis,DD 
麝鼹,Scaptochirus moschatus,NT
水鼩鼱,Neomys fodiens,VU
微尾鼩,Anourosorex squamipes,LC 
天山鼩鼱,Sorex asper,NT
台湾短尾鼩,Anourosorex yamashinai,DD 
小纹背鼩鼱,Sorex bedfordiae,LC
