中文名,学名,保护级别 State Priority Level,红色名录等级 Red List Status,注释 Note
倭蜂猴（蜂猴）,Nycticebus pygmaeus,Ⅰ,CR,
短尾猴,Macaca arctoides,II,VU,
熊猴,Macaca assamensis,Ⅰ,VU,
台湾猴,Macaca cyclopis,Ⅰ,EN,
猕猴,Macaca mulatta,II,LC,
豚尾猴,Macaca nemestrina,Ⅰ,CR,北豚尾猴
藏酋猴,Macaca thibetana,II,VU,
长尾叶猴 （叶猴）,Semnopithecus schistaceus  ,Ⅰ,CR,
印支灰叶猴 （叶猴）,Trachypithecus crepusculus ,Ⅰ,EN,
黑叶猴 （叶猴）,Trachypithecus francoisi,Ⅰ,EN,
菲氏叶猴 （叶猴）,Trachypithecus phayrei  ,Ⅰ,VU,
白头叶猴（叶猴）,Trachypithecus leucocephalus  ,Ⅰ,CR,
戴帽叶猴 （叶猴）,Trachypithecus shortridgei  ,Ⅰ,CR,
滇金丝猴（金丝猴）,Rhinopithecus bieti,Ⅰ,EN,
黔金丝猴 （金丝猴）,Rhinopithecus brelichi,Ⅰ,CR,
川金丝猴（金丝猴）,Rhinopithecus roxellana,Ⅰ,VU,
缅甸金丝猴（金丝猴）, Rhinopithecus strykeri ,Ⅰ,CR,
白掌长臂猿（长臂猿）,Hylobates lar,Ⅰ,CR,
东白眉长臂猿（长臂猿）,Hoolock leuconedys,Ⅰ,CR,
西黑冠长臂猿（长臂猿）,Nomascus concolor,Ⅰ,CR,
东黑冠长臂猿（长臂猿）,Nomascus nasutus,Ⅰ,CR,
海南长臂猿（长臂猿）,Nomascus hainanus ,Ⅰ,CR,
北白颊长臂猿（长臂猿）,Nomascus leucogenys,Ⅰ,CR,
穿山甲,Manis pentadactyla,II,CR,
豺,Cuon alpinus,II,EN,
黑熊,Selenarctos thibetanus,II,VU,
棕熊,Ursus arctos,II,VU,
马来熊,Helarctos malayanus,Ⅰ,CR,
小熊猫,Ailurus fulgens,II,VU,
大熊猫,Ailuropoda melanoleuca,Ⅰ,VU,
石貂,Martes foina,II,EN,
紫貂,Martes zibellina,Ⅰ,VU,
黄喉貂,Martes flavigula,II,NT,
貂熊,Gulo gulo,Ⅰ,EN,
水獭（水獭）,Lutra lutra,II,EN,
江獭 （水獭）,Lutrogale perspicillata  ,II,EN,
*小爪水獭,Aonyx cinerea,II,EN,
斑林狸,Prionodon pardicolor,II,VU,
大灵猫,Viverra zibetha,II,VU,
小灵猫,Viverricula indica,II,VU,
熊狸,Arctictis binturong,Ⅰ,EN,
草原斑猫,Felis lybica (=silvestris),II,EN,野猫
荒漠猫,Felis bieti,II,CR,
丛林猫,Felis chaus,II,EN,
猞猁,Felis lynx,II,EN,
兔狲,Felis manul,II,EN,
金猫,Felis temmincki,II,CR,
渔猫,Felis viverrinus,II,VU,豹猫
云豹,Neofelis nebulosa,Ⅰ,CR,
豹,Panthera pardus,Ⅰ,EN,金钱豹
虎,Panthera tigris,Ⅰ,CR,东北虎、华南虎、印支虎、孟加拉虎：CR，新疆虎：EX
雪豹,Panthera uncia,Ⅰ,EN,
北海狗（鳍足目）,Callorhinus ursinus,II,VU,
北海狮（鳍足目）,Eumetopias jubatus,II,NT,
斑海豹（鳍足目）,Phoca largha ,II,VU,
环斑小头海豹（鳍足目）,Pusa hispida ,II,LC,
髯海豹（鳍足目）,Erignathus barbatus ,II,LC,
*儒艮,Dugong dugong,Ⅰ,CR,
*白鱀豚,Lipotes vexillifer,Ⅰ,CR,
*中华白海豚,Sousa chinensis,Ⅰ,EN,
北太平洋露脊鲸（其它鲸类）,Eubalaena japonica,II,EN,
灰鲸（其它鲸类）,Eschrichtius robustus,II,LC,
小须鲸（其它鲸类）,Balaenoptera acutorostrata,II,LC,
塞鲸（其它鲸类）,Balaenoptera borealis,II,EN,
布氏鲸（其它鲸类）,Balaenoptera edeni,II,DD,
蓝鲸（其它鲸类）,Balaenoptera musculus,II,EN,
大村鲸（其它鲸类）,Balaenoptera omurai,II,DD,
长须鲸（其它鲸类）,Balaenoptera physalus,II,EN,
大翅鲸（其它鲸类）,Megaptera novaeangliae,II,LC,
抹香鲸（其它鲸类）,Physeter macrocephalus,II,DD,
小抹香鲸（其它鲸类）,Kogia breviceps,II,DD,
侏抹香鲸（其它鲸类）,Kogia sima,II,DD,
鹅喙鲸（其它鲸类）,Ziphius cavirostris,II,LC,
柏氏中喙鲸（其它鲸类）,Mesoplodon densirostris,II,DD,
银杏齿中喙鲸（其它鲸类）,Mesoplodon ginkgodens,II,DD,
小中喙鲸（其它鲸类）,Mesoplodon peruvianus,II,DD,
贝氏喙鲸（其它鲸类）,Berardius bairdii,II,DD,
朗氏喙鲸（其它鲸类）,Indopacetus pacificus,II,DD,
窄脊江豚（其它鲸类）,Neophocaena asiaeorientalis,II,CR,
印太江豚（其它鲸类）,Neophocaena phocaenoides,II,VU,
糙齿海豚（其它鲸类）,Steno bredanensis,II,LC,
热带点斑原海豚（其它鲸类）,Stenella attenuata,II,LC,
条纹原海豚（其它鲸类）,Stenella coeruleoalba,II,LC,
飞旋原海豚（其它鲸类）,Stenella longirostris,II,DD,
长喙真海豚（其它鲸类）,Delphinus capensis,II,DD,
短喙真海豚（其它鲸类）,Delphinus delphis,II,LC,
印太瓶鼻海豚（其它鲸类）,Tursiops aduncus,II,DD,
瓶鼻海豚（其它鲸类）,Tursiops truncatus,II,LC,
弗氏海豚（其它鲸类）,Lagenodelphis hosei,II,LC,
里氏海豚（其它鲸类）,Grampus griseus,II,LC,
太平洋斑纹海豚（其它鲸类）,Lagenorhynchus obliquidens,II,LC,
瓜头鲸（其它鲸类）,Peponocephala electra,II,LC,
虎鲸（其它鲸类）,Orcinus orca,II,DD,
伪虎鲸（其它鲸类）,Pseudorca crassidens,II,DD,
小虎鲸（其它鲸类）,Feresa attenuata,II,DD,
短肢领航鲸（其它鲸类）,Globicephala macrorhynchus,II,DD,
亚洲象,Elephas maximus,Ⅰ,EN,
蒙古野驴,Equus hemionus,Ⅰ,VU,
西藏野驴,Equus kiang,Ⅰ,NT,
野马,Equus przewalskii,Ⅰ,EW,
野骆驼,Camelus ferus (=bactrianus),Ⅰ,CR,
鼷鹿,Tragulus javanicus,Ⅰ,CR,威氏小鼷鹿
安徽麝 （麝）,Moschus anhuiensis,Ⅰ,CR,http://www.gov.cn/gongbao/content/2003/content_62289.htm
林麝 （麝）,Moschus berezovskii,Ⅰ,CR,
高山麝（麝）,Moschus chrysogaster sifanicus,Ⅰ,CR,
黑麝（麝）,Moschus fuscus,Ⅰ,CR,
白腹麝(喜马拉雅麝)（麝）,Moschus leucogaster,Ⅰ,EN,
原麝（麝）,Moschus moschiferus,Ⅰ,CR,
河麂,Hydropotes inermis,II,VU,
黑麂,Muntiacus crinifrons,Ⅰ,EN,
白唇鹿,Cervus albirostris,Ⅰ,EN,Przewalskium albirostris
阿拉善马鹿（马鹿）,Cervus alashanicus,II,EN,
四川马鹿（马鹿）,Cervus macneilli,II,CR,
西藏马鹿（马鹿）,Cervus wallichii,II,EN,
东北马鹿（马鹿）,Cervus xanthopygus,II,EN,
塔里木马鹿（马鹿）,Cervus yarkandensis,II,EN,
坡鹿,Cervus eldi,Ⅰ,CR,东方坡鹿
东北梅花鹿（梅花鹿）,Cervus hortulorum,Ⅰ,CR,
华南梅花鹿（梅花鹿）,Cervus pseudaxis,Ⅰ,CR,
四川梅花鹿（梅花鹿）,Cervus sichuanicus,Ⅰ,CR,
台湾梅花鹿（梅花鹿）,Cervus taiouanus,Ⅰ,CR,
豚鹿,Cervus porcinus,Ⅰ,CR,Axis porcinus
水鹿,Cervus unicolor,II,NT,Cervus equinus
麋鹿,Elaphurus davidianus,Ⅰ,CR,
驼鹿,Alces alces,II,CR,欧亚驼鹿
野牛,Bos gaurus,Ⅰ,CR,印度野牛
野牦牛,Bos mutus (=grunniens),Ⅰ,VU,
黄羊,Procapra gutturosa,II,CR,
普氏原羚,Procapra przewalskii,Ⅰ,CR,
藏原羚,Procapra picticaudata,II,NT,
鹅喉羚,Gazella subgutturosa,II,VU,塔里木鹅喉羚
藏羚,Pantholops hodgsoni,Ⅰ,NT,
高鼻羚羊,Saiga tatarica,Ⅰ,EW,
秦岭羚牛（扭角羚）,Budorcas bedfordi,Ⅰ,VU,
四川羚牛（扭角羚）,Budorcas tibetanus,Ⅰ,VU,
不丹羚牛（扭角羚）,Budorcas whitei,Ⅰ,VU,
鬣羚,Capricornis sumatraensis,II,VU,中华鬣羚
台湾鬣羚,Capricornis crispus,Ⅰ,LC,
赤斑羚,Naemorhedus cranbrooki,Ⅰ,EN,
斑羚,Naemorhedus goral,II,EN,喜马拉雅斑羚
塔尔羊,Hemitragus jemlahicus,Ⅰ,CR,
北山羊,Capra ibex,Ⅰ,NT,Capra sibirica
岩羊,Pseudois nayaur,II,LC,
戈壁盘羊（盘羊）,Ovis darwini,II,CR,
西藏盘羊（盘羊）,Ovis hodgsoni,II,NT,
雅布赖盘羊（盘羊）,Ovis jubata,II,CR,
天山盘羊（盘羊）,Ovis karelini,II,EN,
帕米尔盘羊（盘羊）,Ovis polii,II,VU,
海南兔,Lepus peguensis hainanus,II,NT,Lepus hainanus
雪兔,Lepus timidus,II,LC,
塔尔木兔,Lepus yarkandensis,II,NT,
巨松鼠,Ratufa bicolor,II,VU,
河狸,Castor fiber,Ⅰ,CR,
角鸊鷉,Podiceps auritus,II,NT,
赤颈鸊鷉,Podiceps grisegena,II,NT,
短尾信天翁,Diomedea albatrus,Ⅰ,VU,
白鹈鹕 ,Pelecanus onocrotalus  ,II,EN,
斑嘴鹈鹕 ,Pelecanus philippensis,II,EN,
卷羽鹈鹕 ,Pelecanus crispus  ,II,EN,
蓝脸鲣鸟 ,Sula dactylatra,II,LC,
红脚鲣鸟 ,Sula sula,II,NT,
褐鲣鸟,Sula leucogaster,II,LC,
海鸬鹚,Phalacrocorax pelagicus,II,NT,
黑颈鸬鹚,Phalacrocorax niger,II,LC,
白腹军舰鸟,Fregata andrewsi,Ⅰ,DD,
黄嘴白鹭,Egretta eulophotes,II,VU,
岩鹭,Egretta sacra,II,LC,
海南虎斑鳽,Gorsachius magnificus,II,EN,
小苇鳽,Ixbrychus minutus,II,NT,
彩鹳,Ibis leucocephalus,II,DD,
白鹳,Ciconia ciconia,Ⅰ,RE,
黑鹳,Ciconia nigra,Ⅰ,VU,
白鹮,Threskiornis aethiopicus,II,DD,
黑鹮,Pseudibis papillosa,II,DD,白肩黑鹮
朱鹮,Nipponia nippon,Ⅰ,EN,
彩鹮,Plegadis falcinellus,II,DD,
白琵鹭,Platalea leucorodia,II,NT,
黑脸琵鹭,Platalea minor,II,EN,
红胸黑雁,Branta ruficollis,II,DD,
白额雁,Anser albifrons,II,LC,
